,Local Gov Name,Local Gov Logo,Atlas Admin Link
1909,Borough of Bound Brook,https://drive.google.com/file/d/1-_iGvAAbUby1k43IUAHGlhBRDocL2jJ_/view?usp=sharing,https://the-atlas.com/admin/affiliations/1909/edit
962,"Borough of Butler, NJ",https://drive.google.com/file/d/1H423is8dLlKfMFE-oeF-3fQfEHgw-MMW/view?usp=sharing,https://the-atlas.com/admin/affiliations/962/edit
963,"Borough of Far Hills, NJ",https://drive.google.com/file/d/16Ifo1PWkPzf2xNK0h9GmDd57ZQQi80jN/view?usp=sharing,https://the-atlas.com/admin/affiliations/963/edit
1681,Borough of Indiana,Couldnt find,https://the-atlas.com/admin/affiliations/1681/edit
32,PNWER,,https://the-atlas.com/admin/affiliations/32/edit
964,"Borough of Paramus, NJ",https://drive.google.com/file/d/15NZspzeRXeomikrDGRwbIH9wrMSbwIF2/view?usp=sharing,https://the-atlas.com/admin/affiliations/964/edit
1682,Borough of Phoenixville,https://drive.google.com/file/d/1pxN3MHlCvKgxnCwa6H2XmHa9Gl6Bafcj/view?usp=sharing,https://the-atlas.com/admin/affiliations/1682/edit
35,City of Gloucester,,https://the-atlas.com/admin/affiliations/35/edit
965,"Borough of Somerville, NJ",https://drive.google.com/file/d/1YOY-_XLHmz6AxCR2pW4DT4LaVDSdjpaS/view?usp=sharing,https://the-atlas.com/admin/affiliations/965/edit
373,Boston Planning and Development Agency,https://drive.google.com/file/d/11Zc42nToX1tdW508ro0dNewaTbZu6Et9/view?usp=sharing,https://the-atlas.com/admin/affiliations/373/edit
1683,Boxelder Stormwater Authority,https://drive.google.com/file/d/1eeTEj4t-1Jj_5hIp0Oh67DYSoNvrz14F/view?usp=sharing,https://the-atlas.com/admin/affiliations/1683/edit
41,city of newport news,,https://the-atlas.com/admin/affiliations/41/edit
966,"Bradford County, PA",Couldnt find,https://the-atlas.com/admin/affiliations/966/edit
967,"Brick Township Municipal Utilities Authority, NJ",https://drive.google.com/file/d/1H1fjrpXaYLJL6-uJyWWRpbzauFsNPuEk/view?usp=sharing,https://the-atlas.com/admin/affiliations/967/edit
44,Lafayette Consolidated Government,,https://the-atlas.com/admin/affiliations/44/edit
768,"Bridgeport Landing, CT",https://drive.google.com/file/d/10_NdFdZf_mT8ySQPD48WEI0f6mD8vHvB/view?usp=sharing,https://the-atlas.com/admin/affiliations/768/edit
43,"Broward County, FL",https://drive.google.com/file/d/1JF6AFaA4WPL0yDNtUqymDfWnwWW1vpFc/view?usp=sharing,https://the-atlas.com/admin/affiliations/43/edit
968,"Brown County, KS",https://drive.google.com/file/d/1QjgpgU2av68E8M1snIYu1ct6FZ3N_JH0/view?usp=sharing,https://the-atlas.com/admin/affiliations/968/edit
969,Buffalo Grove Park District,https://drive.google.com/file/d/1V9duMkDQq4gTnmb2MzQs-dJxJXV9GEG9/view?usp=sharing,https://the-atlas.com/admin/affiliations/969/edit
51,"Bureau of Engineering, Environmental Engineering Division",,https://the-atlas.com/admin/affiliations/51/edit
52,SCAG,,https://the-atlas.com/admin/affiliations/52/edit
903,Buffalo Sewer Authority,https://drive.google.com/file/d/1WdGZCtoyWEfHTcAIr5UsfLWBW7kwTjFo/view?usp=sharing,https://the-atlas.com/admin/affiliations/903/edit
55,Câmara Municipal de Faro,,https://the-atlas.com/admin/affiliations/55/edit
1523,"Buncombe County, NC",https://drive.google.com/file/d/1q9SUy3O20JwwmLSNbVvHbPAZrW8HnE7S/view?usp=sharing,https://the-atlas.com/admin/affiliations/1523/edit
1638,Bureau of Land Mgt,https://drive.google.com/file/d/1ENOJhBf_Fu-Ufp-XVaQGU68eJgCRc9LR/view?usp=sharing,https://the-atlas.com/admin/affiliations/1638/edit
970,Burlington County Board of Social Services,Couldnt find,https://the-atlas.com/admin/affiliations/970/edit
971,Burlington County Bridge Commission,https://drive.google.com/file/d/1KS9ljcL27yor4Mfbcr_lARDyNvaxKvDU/view?usp=sharing,https://the-atlas.com/admin/affiliations/971/edit
972,"Burlington Township, NJ",https://drive.google.com/file/d/1Jr7MXt5PzDJ-vbcM9yUhy3gNwRlh7dU0/view?usp=sharing,https://the-atlas.com/admin/affiliations/972/edit
973,"Butler County, KS",https://drive.google.com/file/d/1pg_4usID0cdDBcq1Wsj4Glz4FkAZeFKn/view?usp=sharing,https://the-atlas.com/admin/affiliations/973/edit
